price,latitude,longitude,city,operation,surface,rooms,elevator,parking
4000,41.397915,2.1400273,Barcelona,rent,243,5,1,0
2800,40.42008,-3.89832,Barcelona,rent,315,4,0,0
570,39.66002,-0.42674676,Barcelona,rent,60,1,1,0
750,39.99286,-0.06068,Barcelona,rent,113,3,1,0
2500,40.45246,-3.6719847,Barcelona,rent,366,2,0,0
10000,40.46447,-3.749483,Barcelona,rent,630,4,1,0
680,39.974716,-0.04172,Barcelona,rent,81,2,1,0
710,39.974716,-0.04172,Barcelona,rent,87,2,1,0
3600,41.46468,2.0732126,Barcelona,rent,392,5,0,0
850,28.403467,-16.577604,Barcelona,rent,40,1,1,0
2400,40.42169,-3.7095253,Barcelona,rent,120,2,0,0
1500,40.453884,-3.5882487,Barcelona,rent,173,4,1,1
1600,40.466026,-3.7078269,Barcelona,rent,45,1,1,0
957,40.358994,-3.7008636,Barcelona,rent,78,2,1,1
2500,40.646694,-3.7861817,Barcelona,rent,248,4,1,0
1500,41.37713,2.1806555,Barcelona,rent,63,2,1,0
1200,41.40309,2.1360729,Barcelona,rent,34,1,1,0
3000,41.390194,2.12651,Barcelona,rent,119,4,1,0
1100,41.066868,1.0568978,Barcelona,rent,91,3,1,0
1250,41.066868,1.0568978,Barcelona,rent,120,4,1,0
2300,40.43627,-3.6933415,Barcelona,rent,105,2,1,0
1750,40.41549,-3.67243,Barcelona,rent,105,3,0,0
1465,40.34011,-3.67954,Barcelona,rent,45,1,1,0
1525,40.4856,-3.65159,Barcelona,rent,60,2,1,0
2200,41.403492,2.154587,Barcelona,rent,80,3,1,0
1820,41.37807,2.17497,Barcelona,rent,68,2,1,0
2250,41.37661,2.17354,Barcelona,rent,76,2,1,0
1720,41.37661,2.17354,Barcelona,rent,63,2,1,0
1800,40.4224,-3.66528,Barcelona,rent,85,1,1,0
3500,41.392265,2.1659756,Barcelona,rent,190,2,1,0
1700,40.442,-3.67385,Barcelona,rent,60,2,0,0
1900,41.396065,2.1401913,Barcelona,rent,90,3,1,0
3450,41.40882,2.1374154,Barcelona,rent,107,4,1,0
2600,41.39742,2.150513,Barcelona,rent,66,2,1,0
5292,41.39645,2.1464524,Barcelona,rent,286,5,1,0
1800,41.36763,2.13504,Barcelona,rent,59,2,1,0
1840,41.36763,2.13504,Barcelona,rent,59,2,1,0
2360,41.36763,2.13504,Barcelona,rent,76,3,1,0
1700,41.45253,2.2378,Barcelona,rent,101,2,1,0
1700,40.404095,-3.7067125,Barcelona,rent,96,2,1,0
1235,40.39781,-3.5531,Barcelona,rent,85,2,1,0
1800,40.41259,-3.7012835,Barcelona,rent,90,3,1,0
1325,40.39781,-3.5531,Barcelona,rent,108,2,1,0
1200,38.3479,-0.49220678,Barcelona,rent,115,3,1,0
1650,40.41989,-3.710543,Barcelona,rent,70,1,1,0
12000,40.42551,-3.6735945,Barcelona,rent,415,4,1,0
4000,41.381565,2.1802638,Barcelona,rent,135,3,1,0
850,37.39723,-5.923865,Barcelona,rent,140,3,1,0
1090,41.60392,2.2841713,Barcelona,rent,56,1,1,0
900,38.537357,-0.1446718,Barcelona,rent,90,1,1,0
2000,39.469353,-0.38903183,Barcelona,rent,105,2,1,0
1800,41.397717,2.1517987,Barcelona,rent,110,0,1,0
1575,41.361095,2.1351132,Barcelona,rent,96,3,1,0
6000,41.393673,2.1734786,Barcelona,rent,238,5,1,0
1950,41.389793,2.1421123,Barcelona,rent,146,4,1,0
1850,41.39368,2.1556497,Barcelona,rent,115,4,1,0
1600,40.45884,-3.6807947,Barcelona,rent,63,2,1,0
1950,40.42783,-3.6887743,Barcelona,rent,70,2,1,0
1900,41.379963,2.1283283,Barcelona,rent,70,3,1,0
2860,41.40549,2.2001708,Barcelona,rent,103,2,1,0
1700,41.405476,2.1776547,Barcelona,rent,68,2,1,0
2600,41.39671,2.1308835,Barcelona,rent,155,3,1,0
2600,41.388184,2.1552916,Barcelona,rent,50,2,1,0
1400,39.478275,-0.38211575,Barcelona,rent,102,2,1,0
2000,39.464474,-0.37749773,Barcelona,rent,87,2,1,0
1550,41.38345,2.1532834,Barcelona,rent,82,3,1,0
2500,41.38983,2.121019,Barcelona,rent,110,3,1,0
2300,40.431786,-3.720492,Barcelona,rent,73,2,1,0
1700,41.394337,2.1558716,Barcelona,rent,70,2,1,0
2580,41.401207,2.166408,Barcelona,rent,115,4,1,0
3800,40.435356,-3.6803951,Barcelona,rent,163,3,1,0
2860,41.40508,2.2006156,Barcelona,rent,88,2,1,0
2800,41.399124,2.1495616,Barcelona,rent,128,3,1,0
2400,41.4098,2.1812553,Barcelona,rent,110,3,1,0
2400,41.38877,2.145766,Barcelona,rent,138,3,1,0
2300,41.37854,2.0779278,Barcelona,rent,113,4,1,0
3850,40.428036,-3.6998923,Barcelona,rent,145,3,1,0
